Title,Distributor,ReleaseDateUS,Budget,OpeningWeekendNorthAmerica,NorthAmerica,OtherTerritories,Worldwide
Howard the Duck,Universal Pictures,1986-08-01 00:00:00,37000000,5070136,16295774,21667000,37962774
Blade,New Line Cinema,1998-08-21 00:00:00,45000000,17073856,70087718,61095812,131183530
X-Men,20th Century Fox,2000-07-14 00:00:00,75000000,54471475,157299717,139039810,296339527
Blade II,New Line Cinema,2002-03-22 00:00:00,54000000,32528016,82348319,72661713,155010032
Spider-Man,Sony Pictures,2002-05-03 00:00:00,139000000,114844116,403706375,418002176,821708551
Daredevil,20th Century Fox,2003-02-14 00:00:00,78000000,40310419,102543518,76636200,179179718
X2,20th Century Fox,2003-05-02 00:00:00,110000000,85558731,214949694,192761855,407711549
Hulk,Universal Pictures,2003-06-20 00:00:00,137000000,62128420,132177234,113183246,245360480
The Punisher,Lionsgate Films,2004-04-16 00:00:00,33000000,13834527,33810189,20889916,54700105
Spider-Man 2,Sony Pictures,2004-06-30 00:00:00,200000000,88156227,373585825,415390628,788976453
Blade: Trinity,New Line Cinema,2004-12-08 00:00:00,65000000,16061271,52411906,76493460,128905366
Elektra,20th Century Fox,2005-01-14 00:00:00,43000000,12804793,24409722,32271844,56681566
Fantastic Four,20th Century Fox,2005-07-08 00:00:00,100000000,56061504,154696080,175883639,330579719
X-Men: The Last Stand,20th Century Fox,2006-05-26 00:00:00,210000000,102750665,234362462,224997093,459359555
Ghost Rider,Sony Pictures,2007-02-16 00:00:00,110000000,45388836,115802596,112935797,228738393
Spider-Man 3,Sony Pictures,2007-05-04 00:00:00,258000000,151116516,336530303,554341323,890871626
Fantastic Four: Rise of the Silver Surfer,20th Century Fox,2007-06-15 00:00:00,130000000,58051684,131921738,169991393,301913131
Iron Man,Paramount Pictures,2008-05-02 00:00:00,140000000,98618668,318412101,266762121,585174222
The Incredible Hulk,Universal Pictures,2008-06-13 00:00:00,150000000,55414050,134806913,128620638,263427551
Punisher: War Zone,Lionsgate Films,2008-12-05 00:00:00,35000000,4271451,8050977,2049059,10100036
X-Men Origins: Wolverine,20th Century Fox,2009-05-01 00:00:00,150000000,85058003,179883157,193179707,373062864
Iron Man 2,Paramount Pictures,2010-05-07 00:00:00,200000000,128122480,312433331,311500000,623933331
Thor,Paramount Pictures,2011-05-06 00:00:00,150000000,65723338,181030624,268295994,449326618
X-Men: First Class,20th Century Fox,2011-06-03 00:00:00,160000000,55101604,146408305,207215819,353624124
Captain America: The First Avenger,Paramount Pictures,2011-07-22 00:00:00,140000000,65058524,176654505,193915269,370569774
Ghost Rider: Spirit of Vengeance,Sony Pictures,2012-02-17 00:00:00,57000000,22115334,51774002,80789928,132563930
The Avengers,Walt Disney Studios Motion Pictures,2012-05-04 00:00:00,220000000,207438708,623357910,895455078,1518812988
The Amazing Spider-Man,Sony Pictures,2012-07-03 00:00:00,230000000,62004688,262030663,495900000,757930663
Iron Man 3,Walt Disney Studios Motion Pictures,2013-05-03 00:00:00,200000000,174144585,409013994,805797258,1214811252
The Wolverine,20th Century Fox,2013-07-26 00:00:00,120000000,53113752,132550960,282271394,414828246
Thor: The Dark World,Walt Disney Studios Motion Pictures,2013-11-08 00:00:00,170000000,85737841,206362140,438209262,644571402
Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,2014-04-04 00:00:00,170000000,95023721,259766572,454497695,714264267
The Amazing Spider-Man 2,Sony Pictures,2014-05-02 00:00:00,255000000,91608337,202853933,506128390,708982323
X-Men: Days of Future Past,20th Century Fox,2014-05-23 00:00:00,200000000,90823660,233921534,513941241,747862775
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,2014-08-01 00:00:00,170000000,94320883,333176600,440152029,773328629
Big Hero 6,Walt Disney Studios Motion Pictures,2014-11-07 00:00:00,165000000,56215889,222527828,435300000,657827828
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,2015-05-01 00:00:00,250000000,191271109,459005868,946397826,1405403694
Ant-Man,Walt Disney Studios Motion Pictures,2015-07-17 00:00:00,130000000,57225526,180202163,339109802,519311965
Fantastic Four,20th Century Fox,2015-08-07 00:00:00,120000000,25685737,56117548,111765333,167882881
Deadpool,20th Century Fox,2016-02-12 00:00:00,58000000,132434600,363070709,420042270,783112979
Captain America: Civil War,Walt Disney Studios Motion Pictures,2016-05-06 00:00:00,250000000,179139142,408084349,745220146,1153304495
X-Men: Apocalypse,20th Century Fox,2016-05-27 00:00:00,178000000,65769562,155442489,388491616,543934105
Doctor Strange,Walt Disney Studios Motion Pictures,2016-11-04 00:00:00,165000000,85058311,232641920,445076475,677718395
Logan,20th Century Fox,2017-03-03 00:00:00,97000000,88411916,226277068,390518532,616795600
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,2017-05-05 00:00:00,200000000,146510104,389813101,473942950,863756051
Spider-Man: Homecoming,Sony Pictures,2017-07-07 00:00:00,175000000,117027503,334201140,545965784,880166924
Inhumans,IMAX Entertainment,2017-09-01 00:00:00,0,1500000,1521787,1330495,2852282
Thor: Ragnarok,Walt Disney Studios Motion Pictures,2017-11-03 00:00:00,180000000,122744989,315058289,538918837,853977126
Black Panther,Walt Disney Studios Motion Pictures,2018-02-16 00:00:00,200000000,202003951,700059566,646853595,1346913161
Avengers: Infinity War,Walt Disney Studios Motion Pictures,2018-04-27 00:00:00,316000000,257698183,678815482,1369544272,2048359754
Deadpool 2,20th Century Fox,2018-05-18 00:00:00,110000000,125507153,324591735,460455185,785046920
Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,2018-07-06 00:00:00,162000000,75812205,216648740,406025399,622674139
Venom,Sony Pictures,2018-10-05 00:00:00,100000000,80255756,213515506,641498448,855013954
Spider-Man: Into the Spider-Verse,Sony Pictures,2018-12-14 00:00:00,90000000,35363376,190241310,185299521,375540831
Captain Marvel,Walt Disney Studios Motion Pictures,2019-03-08 00:00:00,152000000,153433423,426829839,701444955,1128274794
Avengers: Endgame,Walt Disney Studios Motion Pictures,2019-04-26 00:00:00,356000000,357115007,858373000,1937901401,2797800564
Dark Phoenix,20th Century Fox,2019-06-07 00:00:00,200000000,32828348,65845974,186597000,252442974
Spider-Man: Far From Home,Sony Pictures,2019-07-02 00:00:00,160000000,92579212,390532085,741395911,1131927996
The New Mutants,20th Century Studios,2020-08-28 00:00:00,67000000,7037017,23855569,24819497,48675066
Black Widow,Walt Disney Studios Motion Pictures,2021-07-09 00:00:00,200000000,80366312,183651665,195979696,379631351
Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,2021-09-03 00:00:00,150000000,75388688,224543292,207700000,432243292
Venom: Let There Be Carnage,Sony Pictures,2021-10-01 00:00:00,110000000,90033210,213550366,288500000,502050366
Eternals,Walt Disney Studios Motion Pictures,2021-11-05 00:00:00,200000000,85021497,164870234,237194665,402064899
Spider-Man: No Way Home,Sony Pictures,2021-12-17 00:00:00,200000000,260138569,780418859,1072000000,1852418859
